,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8
60905,8743accd2ffffff,8743acc9effffff,4,11.320582219469799,251,2288,5.5254529391317835,7.7354333524996886,9.334466114027942,1.6094379124341003,0.0,0.06641650906039072,0.6061212216121505,0.32439158570056714,0.0030706836268916747,0.0,0.0,0.0,0.0
60907,8743accd2ffffff,8743acca1ffffff,1,15.948511660917308,251,2262,5.5254529391317835,7.724004656676065,9.677183490873897,0.6931471805599453,0.0,0.0,0.0886711858170935,0.6340930983581159,0.27609791364902614,0.0011378021757645395,0.0,0.0,0.0
60913,8743accd2ffffff,8743acca8ffffff,5,12.200688802835904,251,1338,5.5254529391317835,7.198931240688173,9.409329647603249,1.791759469228055,0.0,0.029247737789796332,0.515577436585053,0.44096415289332425,0.014210672731826421,0.0,0.0,0.0,0.0
60919,8743accd2ffffff,8743accaeffffff,1,13.529970954750912,251,1861,5.5254529391317835,7.528869256642251,9.51273648169057,0.6931471805599453,0.0,0.004235615060475576,0.3441824338876677,0.5929340960930557,0.058647854958801184,0.0,0.0,0.0,0.0
60928,8743accd2ffffff,8743accd2ffffff,2,0.0,251,251,5.5254529391317835,5.5254529391317835,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60931,8743accd2ffffff,8743accd6ffffff,29,2.440254571840008,251,992,5.5254529391317835,6.899723107284872,7.800267354934658,3.4011973816621555,0.5957197541702282,0.25072744609493236,0.0193751084414966,0.0,0.0,0.0,0.0,0.0,0.0
60932,8743accd2ffffff,8743accf2ffffff,2,6.423514070695903,251,226,5.5254529391317835,5.420534999272286,8.767876275883157,1.0986122886681098,0.09149546274913234,0.5666508785659714,0.33800752806452383,0.003846130620372539,0.0,0.0,0.0,0.0,0.0
61112,8743accd3ffffff,8743ac521ffffff,6,3.8521233472982597,39,325,3.6635616461296463,5.783825182329737,8.256639357427591,1.9459101490553132,0.4405355958939409,0.4711498787485196,0.07621479603990933,0.0,0.0,0.0,0.0,0.0,0.0
61116,8743accd3ffffff,8743ac525ffffff,1,4.531469276497376,39,99,3.6635616461296463,4.59511985013459,8.41902216411676,0.6931471805599453,0.32542530677507603,0.5496849957901092,0.12406687862550356,0.0,0.0,0.0,0.0,0.0,0.0
61119,8743accd3ffffff,8743ac529ffffff,1,4.881402910826958,39,22,3.6635616461296463,3.091042453358316,8.493392777417835,0.6931471805599453,0.2681881680623697,0.5767124481302061,0.1550860390071978,0.0,0.0,0.0,0.0,0.0,0.0
61121,8743accd3ffffff,8743ac52cffffff,3,2.2943409887769866,39,255,3.6635616461296463,5.541263545158426,7.7386366904456745,1.3862943611198906,0.5981682620725182,0.22727234432034557,0.016103216372106193,0.0,0.0,0.0,0.0,0.0,0.0
61133,8743accd3ffffff,8743acc80ffffff,2,14.334545603993638,39,1866,3.6635616461296463,7.531552381407289,9.57049743856238,1.0986122886681098,0.0,0.00039291049711286005,0.24088996583924818,0.6501322160314376,0.10858490763220144,0.0,0.0,0.0,0.0
61142,8743accd3ffffff,8743acc8affffff,1,8.343104428876247,39,874,3.6635616461296463,6.773080375655535,9.02931051204767,0.6931471805599453,0.009097360544181282,0.36603510784814247,0.5750492704106489,0.04981826119702732,0.0,0.0,0.0,0.0,0.0
61143,8743accd3ffffff,8743acc8bffffff,1,6.1754128588619706,39,705,3.6635616461296463,6.558197802812269,8.728492938379322,0.6931471805599453,0.11188804286261825,0.5806026167708609,0.30534408038556854,0.002165259980952197,0.0,0.0,0.0,0.0,0.0
61144,8743accd3ffffff,8743acc8cffffff,1,10.442882020202383,39,443,3.6635616461296463,6.093569770045136,9.253771633336447,0.6931471805599453,0.0,0.1261855291691391,0.6591683627749054,0.2145302829022954,0.00011582515366014708,0.0,0.0,0.0,0.0
