hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22060740,2206074002,2,2006,1,1349.119699
22060780,2206078001,1,2005,1,728.902963
22060780,2206078002,2,2010,2,728.902963
22061004,2206100401,1,2016,1,1985.184896
22061024,2206102401,1,2007,1,1774.248698
22061103,2206110301,1,2005,1,786.7764024
22061220,2206122001,1,2021,1,2037.246656
22061220,2206122002,2,2014,1,2037.246656
22061230,2206123001,1,2017,1,11112.09008
22061252,2206125201,1,1995,1,1443.233138
22061511,2206151101,1,2016,2,1467.676751
22061511,2206151102,2,2018,2,1467.676751
22061688,2206168801,1,1995,1,1872.268085
22061707,2206170701,1,2019,1,2690.613454
22061707,2206170702,2,2020,1,2690.613454
22061709,2206170901,1,2017,1,3776.856078
22061709,2206170902,2,2008,1,3776.856078
22061709,2206170903,3,2018,1,3776.856078
22061725,2206172501,1,2001,1,4367.585498
22061842,2206184201,1,2020,1,1224.539817
22061924,2206192401,1,2009,1,2011.677489
22061942,2206194201,1,2020,1,6647.453616
22061979,2206197901,1,2005,1,785.1797841
22061979,2206197902,2,2021,1,785.1797841
22062349,2206234901,1,2005,1,559.3064733
22062377,2206237701,1,2022,1,2075.392039
22062500,2206250001,1,2023,1,4389.48326
22062500,2206250002,2,2018,1,4389.48326
22062776,2206277601,1,2021,1,739.2103789
22062792,2206279201,1,2012,1,905.1279773
22062792,2206279202,2,2006,1,905.1279773
22063194,2206319401,1,1984,1,1496.56649
22063194,2206319402,2,2003,1,1496.56649
22063223,2206322301,1,2002,1,2328.335016
22063363,2206336301,1,2003,1,1946.500395
22063366,2206336601,1,2019,1,1441.888919
22063629,2206362901,1,2008,1,926.7407714
22063665,2206366501,1,2016,1,1479.894424
22063724,2206372401,1,2021,1,6981.735808
22063765,2206376501,1,2021,1,2603.938191
22063793,2206379301,1,2012,1,4280.766162
22063901,2206390101,1,2022,1,2000.660602
22063999,2206399901,1,2013,1,5064.809385
22063999,2206399902,2,2017,1,5064.809385
22064004,2206400401,1,2013,1,3108.07033
22064004,2206400402,2,2021,1,3108.07033
22064067,2206406701,1,2020,1,1520.194295
22064111,2206411101,1,2019,1,3594.353463
22064188,2206418801,1,2007,1,1607.779965
22064441,2206444101,1,2015,5,403.1290343
22064484,2206448401,1,2018,1,486.1297427
22064485,2206448501,1,2015,1,1524.187634
22064485,2206448502,2,2004,1,1524.187634
22064500,2206450001,1,2018,1,5204.129518
22064548,2206454801,1,2004,1,1060.313449
22064594,2206459401,1,2018,1,598.7626897
22064594,2206459402,2,2022,1,598.7626897
22064594,2206459403,3,2018,4,598.7626897
22064643,2206464301,1,2018,1,7359.016341
22064662,2206466201,1,2010,1,1770.009676
22064666,2206466601,1,2013,1,1484.699006
22064690,2206469001,1,2006,1,2024.932476
22064819,2206481901,1,2009,1,4481.988074
22064819,2206481902,2,2016,1,4481.988074
22064822,2206482201,1,2017,1,595.9782521
22064867,2206486701,1,2020,1,4596.047926
22065053,2206505301,1,2019,1,453.5171484
22065227,2206522701,1,2013,1,895.9033501
22065252,2206525201,1,2016,1,2755.409893
22065252,2206525202,2,2020,1,2755.409893
22065297,2206529701,1,2000,1,800.1636676
22065400,2206540001,1,2015,1,1541.632033
22065631,2206563101,1,2011,1,2095.58138
22065631,2206563102,2,2016,1,2095.58138
22065708,2206570801,1,2022,1,1198.355041
22065708,2206570802,2,2022,1,1198.355041
22065829,2206582901,1,2016,1,3113.791269
22065829,2206582902,2,2005,1,3113.791269
22066050,2206605001,1,2017,1,2229.77987
22066064,2206606401,1,2022,1,2720.150608
22066153,2206615301,1,2022,1,460.5715308
22066188,2206618801,1,2009,1,1782.209379
22066201,2206620101,1,2011,1,118.4190232
22066234,2206623401,1,2009,1,1591.689209
22066234,2206623402,2,2019,1,1591.689209
22066282,2206628201,1,2019,1,1046.886331
22066282,2206628202,2,2020,1,1046.886331
22066589,2206658901,1,2007,1,877.8469989
22066655,2206665501,1,2014,1,759.4438961
22066655,2206665502,2,2013,1,759.4438961
22066655,2206665503,3,2013,1,759.4438961
22066998,2206699801,1,2012,1,1727.495538
22067201,2206720101,1,2021,1,2909.922036
22067201,2206720102,2,2021,1,2909.922036
22067201,2206720103,3,2019,1,2909.922036
22067300,2206730001,1,2015,1,1564.878529
22067335,2206733501,1,2022,1,2852.467225
22067335,2206733502,2,2019,1,2852.467225
22067335,2206733503,3,2003,1,2852.467225
22067760,2206776001,1,2021,1,830.4763656
22067760,2206776002,2,2021,1,830.4763656
22067924,2206792401,1,2012,1,1414.494138
22068023,2206802301,1,2011,1,5665.497944
22068023,2206802302,2,2011,1,5665.497944
